CustomerID,SimilarCustomers
C0001,"[('C0198', 0.9999595654844062), ('C0052', 0.9995431005121244), ('C0058', 0.9988724705424861)]"
C0002,"[('C0127', 0.9997981759290806), ('C0029', 0.9995033118924549), ('C0142', 0.999204151195838)]"
C0003,"[('C0175', 0.9999995501173606), ('C0067', 0.9999558798082689), ('C0195', 0.9992800865472375)]"
C0004,"[('C0021', 0.9998819515234424), ('C0075', 0.999839939630452), ('C0195', 0.9990209492492813)]"
C0005,"[('C0178', 0.9995877909509336), ('C0073', 0.9993593516976867), ('C0063', 0.9988618057289913)]"
C0006,"[('C0079', 0.9999992241267981), ('C0117', 0.9999262677577294), ('C0196', 0.9996510517719321)]"
C0007,"[('C0120', 0.9999993767363131), ('C0193', 0.9999510730153585), ('C0135', 0.9998459316553246)]"
C0008,"[('C0034', 0.9976027906592654), ('C0090', 0.9955619069677316), ('C0134', 0.9915135193217725)]"
C0009,"[('C0154', 0.9999914967304993), ('C0069', 0.999949307876968), ('C0071', 0.9998171382594531)]"
C0010,"[('C0019', 0.9955322107328184), ('C0055', 0.9911843924792295), ('C0047', 0.9892561428154177)]"
C0011,"[('C0126', 0.9994516557980687), ('C0096', 0.9975925011193905), ('C0064', 0.9964496324978619)]"
C0012,"[('C0102', 0.9999999488479218), ('C0169', 0.9999900464679291), ('C0122', 0.9997899283982813)]"
C0013,"[('C0105', 0.9992364390628085), ('C0054', 0.9978494864329122), ('C0087', 0.997184281857041)]"
C0014,"[('C0103', 0.9999839700523082), ('C0192', 0.9998157172414607), ('C0128', 0.9986413637837531)]"
C0015,"[('C0137', 0.9999575996567861), ('C0197', 0.9999259308599132), ('C0036', 0.9999235804898866)]"
C0016,"[('C0085', 0.999939521180063), ('C0080', 0.9998702756380511), ('C0140', 0.9997932478977364)]"
C0017,"[('C0162', 0.9998522493491684), ('C0124', 0.9995811261932723), ('C0109', 0.9993404946958584)]"
C0018,"[('C0163', 0.9972500727536779), ('C0022', 0.9913651511795554), ('C0051', 0.9909328373777175)]"
C0019,"[('C0055', 0.9992659971168816), ('C0174', 0.998595304236023), ('C0116', 0.9966083754223153)]"
C0020,"[('C0092', 0.9999991283147847), ('C0129', 0.9999517426038017), ('C0125', 0.9973466065397071)]"
